Id	Unit	Qtype	Qpart	Qnum	Qlet	Prompt2	R1	R2	R3	Subtag	Orig_Prompt2	Orig_R1	Orig_R2
2708	2	SUB		6		Frau Schneider	Frau Schneider	Kennt			Fräulein Schneider	Fräulein Schneider	
2709	2	SUB		7		er	ihn						
2710	2	SUB		7		sie (sg)	sie						
2711	2	SUB		7		Herr Allen	Herrn Allen						
2712	2	SUB		7		Sie	Sie						
2713	2	SUB		7		Frau Schneider	Frau Schneider				Fräulein Schneider	Fräulein Schneider	
2714	2	SUB		7		sie (pl)	sie						
2715	2	SUB		8		sie (sg)	ihr						
2716	2	SUB		8		er	ihm						
2717	2	SUB		8		sie (pl)	ihnen						
2718	2	SUB		8		Herr Becker	Herrn Becker						
2719	2	SUB		9		er	er	bleibt					
2720	2	SUB		9		sie (sg)	sie	bleibt					
2721	2	SUB		9		wir	wir	bleiben					
2722	2	SUB		9		sie (pl)	sie	bleiben					
2723	2	SUB		9		Herr Becker	Herr Becker	bleibt					
2724	2	SUB		9		Frau Kunze	Frau Kunze	bleibt					
2725	2	SUB		10		Herr und Frau Allen	Herr und Frau Allen	Wohnen					
2726	2	SUB		10		ich	ich	Wohne					
2727	2	SUB		10		er	er	Wohnt					
2728	2	SUB		10		sie (pl)	sie	Wohnen					
2729	2	SUB		10		wir	wir	Wohnen					
2730	2	SUB		10		sie (sg)	sie	Wohnt					
2731	2	SUB		11		Sie (sg)	Sie	trifft					
2732	2	SUB		11		Sie (pl)	Sie	treffen					
2733	2	SUB		11		Herr Becker und ich	Herr Becker und ich	treffen					
2734	2	SUB		11		Sie (pl)	Sie	treffen					
2735	2	SUB		11		Er	Er	trifft					
2736	2	SUB		11		Ich	Ich	treffe					
2737	2	SUB		11		Wir	Wir	treffen					
2738	2	SUB		12		Herr Keller	Herrn Keller						
2739	2	SUB		12		er	ihn						
2740	2	SUB		12		Frau Kunze	Frau Kunze						
2741	2	SUB		12		sie (sg)	sie						
2742	2	SUB		12		ich	mich						
2743	2	SUB		12		Frau Schneider	Frau Schneider				Fräulein Schneider	Fräulein Schneider	
2744	2	SUB		12		Herr und Frau Allen	Herrn und Frau Allen						
2745	2	SUB		12		sie (pl)	sie						
2746	2	SUB		12		wir	uns						
2747	2	SUB		13		er	er	möchte					
2748	2	SUB		13		sie (pl)	sie	möchten					
2749	2	SUB		13		sie (sg)	sie	möchte					
2750	2	SUB		13		Herr und Frau Allen	Herr und Frau Allen	möchten					
2751	2	SUB		14		er	ihm						
2752	2	SUB		14		sie (sg)	ihr						
2753	2	SUB		14		sie (pl)	ihnen						
2754	2	SUB		14		Herr Becker	Herrn Becker						
2755	2	SUB		14		Frau Schneider	Frau Schneider				Fräulein Schneider	Fräulein Schneider	
2756	2	SUB		14		Herr und Frau Becker	Herrn und Frau Becker						
2757	2	SUB		15		er	er	isst					
2758	2	SUB		15		Herr und Frau Allen	Herr und Frau Allen	essen					
2759	2	SUB		15		sie (sg)	sie	isst					
2760	2	SUB		15		wir	wir	essen					
2761	2	SUB		15		Frau Schneider	Frau Schneider	isst			Fräulein Schneider	Fräulein Schneider	
2762	2	SUB		15		sie (pl)	sie	essen					
2763	2	SUB		16		wir	uns						
2764	2	SUB		16		sie (sg)	ihr						
2765	2	SUB		16		er	ihm						
2766	2	SUB		16		ich	mir						
2767	2	SUB		16		sie (pl)	ihnen						
2768	2	SUB		16		Frau Keller	Frau Keller						
2769	2	SUB		17		er	er	muss					
2770	2	SUB		17		Frau Becker und ich	Frau Becker und ich	müssen					
2771	2	SUB		17		sie (sg)	sie	muss					
2772	2	SUB		17		sie (pl)	sie	müssen					
2773	2	SUB		17		wir	wir	müssen					
2774	2	SUB		17		Frau Schneider	Frau Schneider	muss			Fräulein Schneider	Fräulein Schneider	
2775	2	SUB		18		Herr Keller	Herr Keller	kann					
2776	2	SUB		18		Sie (pl)	Sie	können					
2777	2	SUB		18		Er	Er	kann					
2778	2	SUB		18		Wir	Wir	können					
2779	2	SUB		18		Ich	Ich	kann					
2780	2	SUB		18		Frau Schneider	Frau Schneider	kann			Fräulein Schneider	Fräulein Schneider	
2781	2	SUB		19		wir	wir	Dürfen					
2782	2	SUB		19		Herr Becker	Herr Becker	Darf					
2783	2	SUB		19		sie (sg)	sie	Darf					
2784	2	SUB		19		sie (pl)	sie	Dürfen					
2785	2	SUB		19		er	er	Darf					
2786	2	SUB		20		Wir	Wir	arbeiten					
2787	2	SUB		20		Sie (pl)	Sie	arbeiten					
2788	2	SUB		20		Sie (sg)	Sie	arbeitet					
2789	2	SUB		20		Frau Schneider und ich	Frau Schneider und ich	arbeiten			Fräulein Schneider und ich	Fräulein Schneider und ich	
2790	2	SUB		21		er	er	fährt					
2791	2	SUB		21		Herr Allen und Herr Becker	Herr Allen und Herr Becker	fahren					
2792	2	SUB		21		Sie	Sie	fahren					
2793	2	SUB		21		sie (sg)	sie	fährt					
2794	2	SUB		21		sie (pl)	sie	fahren					
2795	2	SUB		21		Frau Allen	Frau Allen	fährt					
2796	2	SUB		22		Herr Becker und ich	Herr Becker und ich	wollen					
2797	2	SUB		22		Er	Er	will					
2798	2	SUB		22		Sie (pl)	Sie	wollen					
2799	2	SUB		22		Frau Keller	Frau Keller	will					
2800	2	SUB		22		Sie (sg)	Sie	will					
2801	2	SUB		22		Ich	Ich	will					
2802	2	SUB		23	a	Flughafen	der	ist					
2803	2	SUB		23	a	Bahnhof	der	ist					
2804	2	SUB		23	a	Wein	der	ist					
2805	2	SUB		23	a	Kaffee	der	ist					
2806	2	SUB		23	a	Tee	der	ist					
2807	2	SUB		23	a	Amerikaner	der	ist					
2808	2	SUB		23	a	Diplomat	der	ist					
2809	2	SUB		23	a	Ober	der	ist					
2810	2	SUB		23	a	Pass	der	ist					
2811	2	SUB		23	a	Beamte	der	ist					
2812	2	SUB		23	a	Koffer	der	ist					
2813	2	SUB		23	a	Zoll	der	ist					
2814	2	SUB		23	b	Restaurant	das	ist					
2815	2	SUB		23	b	Café	das	ist					
2816	2	SUB		23	b	Konsulat	das	ist					
2817	2	SUB		23	b	Kino	das	ist					
2818	2	SUB		23	b	Gepäck	das	ist					
2819	2	SUB		23	b	Bier	das	ist					
2820	2	SUB		23	b	Essen	das	ist					
2821	2	SUB		23	b	Hotel	das	ist					
2822	2	SUB		23	c	Stadt	die	ist					
2823	2	SUB		23	c	Bank	die	ist					
2824	2	SUB		23	c	Adresse	die	ist					
2825	2	SUB		23	c	Dame	die	ist					
2826	2	SUB		23	c	Amerikanerin	die	ist					
2827	2	SUB		23	c	Deutsche	die	ist					
2828	2	SUB		23	c	Milch	die	ist					
2829	2	SUB		23	c	Botschaft	die	ist					
2830	2	SUB		23	d	Streichhölzer	die	sind					
2831	2	SUB		23	d	Zigarren	die	sind					
2832	2	SUB		23	d	Kartoffeln	die	sind					
2833	2	SUB		23	d	Eltern	die	sind					
1	1	SUB		8	a	Herr Becker		er	ist	m			
2	1	SUB		8	a	Flughafen	der	er	ist	m			
3	1	SUB		8	a	Bahnhof	der	er	ist	m			
4	1	SUB		8	a	Wein	der	er	ist	m			
5	1	SUB		8	a	Tee	der	er	ist	m			
6	1	SUB		8	a	Kaffee	der	er	ist	m			
7	1	SUB		8	a	Herr Keller		er	ist	m			
8	1	SUB		8	b	Frau Kunze		sie	ist	f			
9	1	SUB		8	b	Milch	die	sie	ist	f			
10	1	SUB		8	b	Botschaft	die	sie	ist	f			
11	1	SUB		8	b	Bank	die	sie	ist	f			
12	1	SUB		8	b	Frau Schneider		sie	ist	f			
13	1	SUB		8	c	Restaurant	das	es	ist	n			
14	1	SUB		8	c	Bier	das	es	ist	n			
15	1	SUB		8	c	Wasser	das	es	ist	n			
16	1	SUB		8	c	Café	das	es	ist	n			
17	1	SUB		8	c	Hotel	das	es	ist	n			
18	1	SUB		8	d	Streichhölzer	die	sie	sind	p			
19	1	SUB		8	d	Zigarren	die	sie	sind	p			
20	1	SUB		8	d	Herr und Frau Becker		sie	sind	p			
21	3	SUB		1	a	Portier	der			m			
22	3	SUB		1	a	Stadtplan	der			m			
23	3	SUB		1	a	Markt	der			m			
24	3	SUB		1	a	Wagen	der			m			
25	3	SUB		1	a	Omnibus	der			m			
26	3	SUB		1	a	Dom	der			m			
27	3	SUB		1	a	Polizist	der			m			
28	3	SUB		1	a	Wachtmeister	der			m			
29	3	SUB		1	a	Platz	der			m			
30	3	SUB		1	a	Park	der			m			
31	3	SUB		1	a	Ratskeller	der			m			
32	3	SUB		1	a	Parkplatz	der			m			
33	3	SUB		1	b	Theater	das			n			
34	3	SUB		1	b	Glas	das			n			
35	3	SUB		1	b	Hofbräuhaus	das			n			
36	3	SUB		1	b	Geld	das			n			
37	3	SUB		1	b	Museum	das			n			
38	3	SUB		1	b	Rathaus	das			n			
39	3	SUB		1	b	Auto	das			n			
40	3	SUB		1	b	Schloss	das			n			
41	3	SUB		1	c	Straße	die			f	Strasse		
42	3	SUB		1	c	Taxi	die			f	Taxe		
43	3	SUB		1	c	Ecke	die			f			
44	3	SUB		1	c	Straßenbahn	die			f	Strassenbahn		
45	3	SUB		1	c	Haltestelle	die			f			
46	3	SUB		1	c	Gegend	die			f			
47	3	SUB		1	c	Universität	die			f			
48	3	SUB		1	c	Bank	die			f			
49	3	SUB		2	a	Königsplatz	den			m			
50	3	SUB		2	a	Markt	den			m			
51	3	SUB		2	a	Dom	den			m			
52	3	SUB		2	a	Stadtplan	den			m			
53	3	SUB		2	a	Polizisten	den			m			
54	3	SUB		2	a	Wachtmeister	den			m			
55	3	SUB		2	a	Portier	den			m			
56	3	SUB		2	a	Wagen	den			m			
57	3	SUB		2	a	Omnibus	den			m			
58	3	SUB		2	a	Parkplatz	den			m			
59	3	SUB		2	a	Ratskeller	den			m			
60	3	SUB		2	b	Theater	das			n			
61	3	SUB		2	b	Schloss	das			n			
62	3	SUB		2	b	Geld	das			n			
63	3	SUB		2	b	Museum	das			n			
64	3	SUB		2	b	Rathaus	das			n			
65	3	SUB		2	b	Gepäck	das			n			
66	3	SUB		2	b	Hofbräuhaus	das			n			
67	3	SUB		2	b	Stadttheater	das			n			
68	3	SUB		2	c	Universität	die			f			
69	3	SUB		2	c	Bank	die			f			
70	3	SUB		2	c	Straße	die			f	Strasse		
71	3	SUB		2	c	Adresse	die			f			
72	3	SUB		2	c	Straßenbahnhaltestelle	die			f	Strassenbahnhaltestelle		
73	3	SUB		2	c	Amerikanerin	die			f			
74	3	SUB		2	c	Botschaft	die			f			
75	3	SUB		3	a	Amerikaner	dem			m			
76	3	SUB		3	a	Polizisten	dem			m			
77	3	SUB		3	a	Herrn	dem			m			
78	3	SUB		3	a	Diplomaten	dem			m			
79	3	SUB		3	a	Portier	dem			m			
80	3	SUB		3	a	Wachtmeister	dem			m			
81	3	SUB		3	a	Dom	dem			m			
82	3	SUB		3	a	Parkplatz	dem			m			
83	3	SUB		3	a	Ratskeller	dem			m			
84	3	SUB		3	b	Museum	dem			n			
85	3	SUB		3	b	Rathaus	dem			n			
86	3	SUB		3	b	Geld	dem			n			
87	3	SUB		3	b	Auto	dem			n			
88	3	SUB		3	b	Wetter	dem			n			
89	3	SUB		3	b	Schloss	dem			n			
90	3	SUB		3	b	Stadttheater	dem			n			
91	3	SUB		3	b	Hofbräuhaus	dem			n			
92	3	SUB		3	c	Dame	der			f			
93	3	SUB		3	c	Passkontrolle	der			f			
94	3	SUB		3	c	Reise	der			f			
95	3	SUB		3	c	Bank	der			f			
96	3	SUB		3	c	Straßenbahn	der			f	Strassenbahn		
97	3	SUB		3	c	Universität	der			f			
98	3	SUB		3	c	Taxi	der			f	Taxe		
99	3	SUB		4		Rathaus	das			n			
100	3	SUB		4		Konsulat	das			n			
101	3	SUB		4		Flughafen	der			m			
102	3	SUB		4		Bahnhof	der			m			
103	3	SUB		4		Universität	die			f			
104	3	SUB		4		Gepäck	das			n			
105	3	SUB		4		Portier	der			m			
106	3	SUB		4		Beamte	der			m			
107	3	SUB		4		Polizist	der			m			
108	3	SUB		4		Ober	der			m			
109	3	SUB		4		Stadtplan	der			m			
110	3	SUB		4		Kino	das			n			
111	3	SUB		4		Bank	die			f			
112	3	SUB		4		Dom	der			m			
113	3	SUB		4		Schloss	das			n			
114	3	SUB		4		Straßenbahnhaltestelle	die			f	Strassenbahnhaltestelle		
115	3	SUB		5		Dom	den			m			
116	3	SUB		5		Konsulat	das			n			
117	3	SUB		5		Park	den			m			
118	3	SUB		5		Hotel	das			n			
119	3	SUB		5		Universität	die			f			
120	3	SUB		5		Bahnhof	den			m			
121	3	SUB		5		Botschaft	die			f			
122	3	SUB		5		Flughafen	den			m			
123	3	SUB		5		Kino	das			n			
124	3	SUB		5		Theater	das			n			
125	3	SUB		5		Portier	den			m			
126	3	SUB		5		Zigaretten	die			f			
127	3	SUB		5		Geld	das			n			
128	3	SUB		5		Streichhölzer	die			f			
129	3	SUB		5		Pass	den			m			
2834	3	SUB		6		Wir	Wir	müssen					
2835	3	SUB		6		Er	Er	muss					
2836	3	SUB		6		Sie (pl)	Sie	müssen					
2837	3	SUB		6		Ich	Ich	muss					
2838	3	SUB		6		Sie (pl)	Sie	müssen					
2839	3	SUB		6		Herr Keller	Herr Keller	muss					
2840	3	SUB		6		Herr und Frau Becker	Herr und Frau Becker	müssen					
2841	3	SUB		7		Er	Er	hat					
2842	3	SUB		7		Wir	Wir	haben					
2843	3	SUB		7		Sie (sg)	Sie	hat					
2844	3	SUB		7		Herr Keller	Herr Keller	hat					
2845	3	SUB		7		Frau Kunze	Frau Kunze	hat					
2846	3	SUB		7		Sie (pl)	Sie	haben					
2847	3	SUB		8		Sie (pl)	Ihnen						
2848	3	SUB		8		sie (sg)	ihr						
2849	3	SUB		8		er	ihm						
2850	3	SUB		8		sie (pl)	ihnen						
2851	3	SUB		8		d- Eltern	den Eltern						
2852	3	SUB		8		d- Ober	dem Ober						
2853	3	SUB		8		Herr Köhler	Herrn Köhler						
2854	3	SUB		8		d- Wachtmeister	dem Wachtmeister						
2855	3	SUB		9		wir	wir	wissen					
2856	3	SUB		9		sie (pl)	sie	wissen					
2857	3	SUB		9		er	er	weiß					weiss
2858	3	SUB		9		sie (sg)	sie	weiß					weiss
2859	3	SUB		9		der Portier	der Portier	weiß					weiss
2860	3	SUB		9		der Polizist	der Polizist	weiß					weiss
2861	3	SUB		9		der Beamte	der Beamte	weiß					weiss
2862	3	SUB		10		Wir	Wir	trinken					
2863	3	SUB		10		Sie (sg)	Sie	trinkt					
2864	3	SUB		10		Herr und Frau Becker	Herr und Frau Becker	trinken					
2865	3	SUB		10		Sie (pl)	Sie	trinken					
2866	3	SUB		10		Die Eltern	Die Eltern	trinken					
2867	3	SUB		10		Ich	Ich	trinke					
2868	3	SUB		11		wir	uns						
2869	3	SUB		11		ich	mir						
2870	3	SUB		11		Sie (pl)	Ihnen						
2871	3	SUB		11		sie (sg)	ihr						
2872	3	SUB		11		er	ihm						
2873	3	SUB		11		Herr Keller	Herrn Keller						
2874	3	SUB		11		sie (pl)	ihnen						
2875	3	SUB		11		Frau Kunze	Frau Kunze						
2876	3	SUB		11		d- Diplomat	dem Diplomaten						
2877	3	SUB		12		wir	wir	möchten					
2878	3	SUB		12		er	er	möchte					
2879	3	SUB		12		sie (pl)	sie	möchten					
2880	3	SUB		12		Herr und Frau Becker	Herr und Frau Becker	möchten					
2881	3	SUB		12		Frau Keller	Frau Keller	möchte			Fräulein Keller	Fräulein Keller	
130	3	SUB		13		Haltestelle	Die	Sie		f			
131	3	SUB		13		Autobus	Der	Er		m			
132	3	SUB		13		Polizist	Der	Er		m			
133	3	SUB		13		Hotel	Das	Es		n			
134	3	SUB		13		Bank	Die	Sie		f			
135	3	SUB		13		Kino	Das	Es		n			
136	3	SUB		13		Restaurant	Das	Es		n			
137	3	SUB		13		Botschaft	Die	Sie		f			
138	3	SUB		13		Park	Der	Er		m			
139	3	SUB		13		Museum	Das	Es		n			
140	3	SUB		13		Straßenbahn	Die	Sie		f	Strassenbahn		
141	3	SUB		13		Ober	Der	Er		m			
142	3	SUB		14		Bank	der			f			
143	3	SUB		14		Museum	dem			n			
144	3	SUB		14		Hotel	dem			n			
145	3	SUB		14		Café	dem			n			
146	3	SUB		14		Universität	der			f			
147	3	SUB		14		Kino	dem			n			
148	3	SUB		14		Parkplatz	dem			m			
149	3	SUB		14		Botschaft	der			f			
150	3	SUB		14		Restaurant	dem			n			
151	3	SUB		15		Stadtplan	den			m			
152	3	SUB		15		Geld	das			n			
153	3	SUB		15		Pass	den			m			
154	3	SUB		15		Wagen	den			m			
155	3	SUB		15		Zigaretten	die			p			
156	3	SUB		15		Streichhölzer	die			p			
157	3	SUB		15		Gepäck	das			n			
158	3	SUB		16		Kino	welches			n			
159	3	SUB		16		Museum	welches			n			
160	3	SUB		16		Bank	welche			f			
161	3	SUB		16		Hotel	welches			n			
162	3	SUB		16		Café	welches			n			
163	3	SUB		16		Theater	welches			n			
164	3	SUB		16		Park	welchen			m			
165	3	SUB		17		Café	Das			n			
166	3	SUB		17		Museum	Das			n			
167	3	SUB		17		Schloss	Das			n			
168	3	SUB		17		Hotel	Das			n			
169	3	SUB		17		Universität	Die			f			
170	3	SUB		17		Restaurant	Das			n			
171	3	SUB		17		Dom	Der			m			
172	3	SUB		17		Theater	Das			n			
173	3	SUB		17		Ratskeller	Der			m			
174	3	SUB		18		Ratskeller	zum			m			
175	3	SUB		18		Café	zum			n			
176	3	SUB		18		Hotel	zum			n			
177	3	SUB		18		Bank	zur			f			
178	3	SUB		18		Museum	zum			n			
179	3	SUB		18		Universität	zur			f			
180	3	SUB		18		Bahnhof	zum			m			
181	3	SUB		18		Restaurant	zum			n			
182	3	SUB		18		Flughafen	zum			m			
183	3	SUB		18		Botschaft	zur			f			
184	3	SUB		18		Dom	zum			m			
185	3	SUB		19		Park	den			m			
186	3	SUB		19		Ratskeller	den			m			
187	3	SUB		19		Rathaus	das			n			
188	3	SUB		19		Schloss	das			n			
189	3	SUB		19		Bahnhof	den			m			
190	3	SUB		19		Kino	das			n			
191	3	SUB		19		Portier	den			m			
192	3	SUB		19		Wachtmeister	den			m			
193	3	SUB		19		Universität	die			f			
194	3	SUB		19		Bank	die			f			
195	3	SUB		19		Polizisten	den			m			
196	3	SUB		19		Dom	den			m			
197	3	SUB		20		Bahnhof	der	Der		m			
198	3	SUB		20		Museum	das	Das		n			
199	3	SUB		20		Universität	die	Die		f			
200	3	SUB		20		Konsulat	das	Das		n			
201	3	SUB		20		Flughafen	der	Der		m			
202	3	SUB		20		Straßenbahnhaltestelle	die	Die		f	Strassenbahnhaltestelle		
203	3	SUB		20		Park	der	Der		m			
204	3	SUB		20		Markt	der	Der		m			
205	3	SUB		20		Bank	die	Die		f			
206	3	SUB		20		Dom	der	Der		m			
207	3	SUB		20		Kino	das	Das		n			
208	3	SUB		21		Omnibus	dem			m			
209	3	SUB		21		Straßenbahn	der			f	Strassenbahn		
210	3	SUB		21		Wagen	dem			m			
211	3	SUB		21		Taxi	der			f	Taxe		
212	3	SUB		22		Ratskeller	im			m			
213	3	SUB		22		Museum	im			n			
214	3	SUB		22		Schloss	im			n			
215	3	SUB		22		Kino	im			n			
216	3	SUB		22		Stadt	in der			f			
217	3	SUB		22		Universität	in der			f			
218	3	SUB		22		Restaurant	im			n			
219	3	SUB		22		Theater	im			n			
220	3	SUB		22		Bank	in der			f			
221	3	SUB		22		Park	im			m			
222	3	SUB		22		Botschaft	in der			f			
223	3	SUB		22		Rathaus	im			n			
224	3	SUB		23		Restaurant	welches			n			
225	3	SUB		23		Café	welches			n			
226	3	SUB		23		Kino	welches			n			
227	3	SUB		23		Hotel	welches			n			
228	3	SUB		23		Park	welchen			m			
229	3	SUB		23		Theater	welches			n			
230	3	SUB		23		Museum	welches			n			
231	3	SUB		23		Bank	welche			f			
232	3	SUB		23		Botschaft	welche			f			
233	3	SUB		24		Polizist	der	Den	ist	m			
234	3	SUB		24		Portier	der	Den	ist	m			
235	3	SUB		24		Ober	der	Den	ist	m			
236	3	SUB		24		Frau Kunze		Die	ist	f			
237	3	SUB		24		Herr Becker		Den	ist	m			
238	3	SUB		24		Herr und Frau Keller		Die	sind	f			
239	3	SUB		24		Beamte	der	Den	ist	m			
240	3	SUB		24		Frau Schneider		Die	ist	f	Fräulein Schneider		
241	3	SUB		25		Bank	welcher			f			
242	3	SUB		25		Bahnhof	welchem			m			
243	3	SUB		25		Museum	welchem			n			
244	3	SUB		25		Botschaft	welcher			f			
245	3	SUB		25		Hotel	welchem			n			
246	3	SUB		25		Restaurant	welchem			n			
247	3	SUB		25		Straßenbahnhaltestelle	welcher			f	Strassenbahnhaltestelle		
248	3	SUB		26		Park	den			m			
249	3	SUB		26		Stadt	die			f			
250	3	SUB		26		Museum	das			n			
251	3	SUB		26		Universität	die			f			
252	3	SUB		26		Restaurant	das			n			
253	3	SUB		27		Bank	zur			f			
254	3	SUB		27		Konsulat	zum			n			
255	3	SUB		27		Hotel	zum			n			
256	3	SUB		27		Universität	zur			f			
257	3	SUB		27		Bahnhof	zum			m			
