Unit	Qtype	Qpart	Qnum	FillPatt	Pattern	ModF1	ModF2	ModF3	Rules	ModPrompt	Comment	Orig_Pattern	Orig_ModF1	Orig_ModF2
6	SUB	2	16	2	Das ist {F1}.				der.adj.nom.sing					
6	SUB	2	17	2	Er zeigt uns die {F1}.				der.adj.acc.pl					
6	SUB	2	18	2	Sie kennen {F1}.				ein.adj.acc.pl					
6	SUB	2	19	2	Das ist {F1}.				ein.adj.nom.sing					
6	SUB	2	20	2	Er hat {F1}.				ein.adj.acc					
6	SUB	2	21	2	Zeigen Sie mir {F1}.				pop.acc.der.adj.gen.pl					
6	SUB	2	22	2	Sie wohnen in {F1}.				ein.adj.dat.sing					
6	SUB	2	23	2	Es handelt sich um {F1}				pop.acc.ein.adj.dat.pl					
6	CONV		1	5	Hier ist der schöne {F1}.	Park			der.adj.nom					
6	CONV		2	5	Wo ist mein neuer {F1}?	Bleistift			ein.adj.nom					
6	CONV		3	5	Hier wohnt unser guter {F1}.	Bekannter			ein.adj.nom					
6	CONV		4	5	Er kennt den französischen {F1}.	Roman			der.adj.acc					
6	CONV		5	5	Sie liest die amerikanische {F1}.	Zeitung			der.adj.acc					
6	CONV		6	5	Ihre nette {F1} besucht uns heute.	Verwandte			der.adj.nom					
6	CONV		7	5	Wie gefällt Ihnen die große {F1}?	Wohnung			der.adj.nom			Wie gefällt Ihnen die grosse {F1}?		
6	CONV		8	5	Hier ist kein deutscher {F1}.	Beamter			der.adj.nom					
6	CONV		9	5	Dieser schöne {F1} gehört mir nicht.	Koffer			der.adj.nom					
6	CONV		10	5	Hier gibt es keinen großen {F1}.	Parkplatz			der.adj.acc			Hier gibt es keinen grossen {F1}.		
6	CONV		11	5	Mein amerikanischer {F1} ist {F2}.	Kollege	Vizekonsul		ein.adj.nom					
6	CONV		12	5	Er spricht mit der {F1} der neuen {F2}.	Sekretärin	Abteilung		der.adj.dat.der.adj.gen					
6	CONV		13	5	Wollen Sie das nicht der netten {F1} zeigen?	Amerikanerin			der.adj.gen					
6	CONV		14	5	Hier ist die neue {F1} meiner {F2}.	Maus	Schwester		der.adj.nom.der.gen				Schreibmaschine	
6	CONV		15	5	Kennen Sie das nette {F1} dieses {F2}.	Buch	Schriftstellers		der.adj.nom.der.gen					
6	CONV		16	5	Ich kann mit diesem kaputten {F1} nicht schreiben.	Füller			der.adj.dat					
6	CONV		17	5	Ist das der neue {F1}?	Pfennig			der.adj.nom					
7	SUB	1	1	2	Wie viel kostet {F1}?				unp.adj.nom			Wieviel kostet {F1}?		
7	SUB	1	2	2	Wie viel kostet {F1}?				unp.adj.nom			Wieviel kostet {F1}?		
7	SUB	1	3	2	Ihm gehören {F1} Häuser?				unp.adj.nom.pl					
7	SUB	1	4	2	Haben Sie {F1}?				unp.adj.nom.pl					
7	SUB	1	5	2	Ich suche noch {F1}.				unp.adj.nom.pl					
7	SUB	1	6	2	Ich suche {F1}.				unp.adj.acc					
7	SUB	1	7	2	Hier ist {F1}.				unp.adj.nom					
7	SUB	1	8	2	Haben Sie {F1}?				unp.adj.acc					
7	SUB	1	9	2	Dort steht eine Kiste mit {F1}.				unp.adj.dat					
7	SUB	1	10	2	In diesem Haus sind {F1}.				unp.adj.nom.pl					
7	SUB	2	11	2	Diese Stadt hat viele {F1}.				unp.adj.acc.pl					
7	SUB	2	12	2	Diese Stadt hat keine {F1}.				ein.adj.acc.pl					
7	SUB	2	13	2	Hier gibt es {F1}.				unp.adj.acc.pl					
7	SUB	2	14	2	Hier gibt es keine {F1}.				ein.adj.acc.pl					
7	SUB	2	15	2	Haben Sie einige {F1}?				unp.adj.acc.pl					
7	SUB	2	16	2	Wir haben {F1}.				einunp.adj.dat					
7	SUB	2	17	2	Das ist eine Stadt mit {F1}.				einunp.adj.dat					
7	SUB	2	18	2	Das ist ein Haus mit {F1}.				einunp.adj.dat					
7	SUB	2	19	2	In dieser Stadt {F2} {F1}.		ist/sind		einunp.adj.nom					
7	SUB	2	20	2	Diese Stadt hat {F1}.				einunp.adj.acc					
7	SUB	3	21	2	Er stellt einen Stuhl {F1}.				2way.acc					
7	SUB	3	22	2	{F1} steht ein Stuhl.				2way.dat					
7	SUB	3	23	2	Der Papierkorb steht {F1}.				2way.dat					
7	SUB	3	24	2	Ich stelle den Papierkorb {F1}.				2way.acc					
7	SUB	3	25	2	Legen Sie bitte das Buch {F1}.				2way.acc					
7	SUB	3	26	2	Das Buch liegt {F1}.				2way.dat					
7	SUB	3	27	2	Der Brief liegt {F1}.				2way.dat					
7	SUB	3	28	2	Sie legt den Brief {F1}.				2way.acc					
7	SUB	3	29	2	Das Bild hängt {F1}.				2way.dat					
7	SUB	3	30	2	Soll ich das Bild {F1} hängen?				2way.acc					
8	SUB		1	1	Brauchen Sie noch ein paar {F1}?				ep.acc					
8	SUB		2	1	Ich brauche noch etwas {F1}.				etw.no.acc					
8	SUB		3	2	Was für {F1} wollen Sie kaufen?				wf.acc					
8	SUB		4	2	Was für {F1} möchten Sie?				wf.ein.acc					
8	SUB		5	2	Sind das alle {F1} Zeitungen?				alle.adj.nom		all- is der-type specifier.  In singular it occurs with the endings -es or -em and usually stands alone or is followed by an adjective.  In the plural it occurs both alone and as part of the usual specifier-adj-noun sequence.			
8	SUB		6	2	Hier sind ein paar {F1} Bücher.				ep.adj.nom		ein paar is invariable, has indefinite plural reference.  adjectives that follow decline as unpreceded			
8	SUB		7	1	Was für {F1} ist das!	ein- schön- groß- X			wf.adj.nom		was für is invariable, has indefinite singular or plural reference.  adjectives that follow decline as unpreceded		ein- schön- groß- X	
8	SUB		8	2	Hier gibt's nichts {F1}.				nichts.adj.acc		nichts/etwas are not specifiers.  They are followed by adjective written with 'das' endings that functinon as noun, or adj+noun sequence with unpreceded endings on the adjective			
8	SUB		9	2	Wollen Sie etwas {F1} haben?				etw.adj.acc		nichts/etwas are not specifiers.  They are followed by adjective written with 'das' endings that functinon as noun, or adj+noun sequence with unpreceded endings on the adjective			
8	SUB		10	2	Wie viel kostet {F1}?				der.adj.nom			Wieviel kostet {F1}?		
8	SUB		11	2	Haben Sie {F1} in meiner Größe?				ein.adj.acc			Haben Sie {F1} in meiner Grösse?		
8	SUB		12	2	Wie gefällt Ihnen {F1}?				ein.adj.nom					
8	SUB		13	2	{F1} kaufe ich mir.				der.adj.acc					
8	SUB		14	2	Ich kenne hier {F1}.				ein.adj.acc					
8	SUB		15	2	Sind Sie mit {F1} zufrieden?				einder.adj.dat					
8	SUB		16	2	{F1} sieht sehr gut aus.				ein.adj.nom					
8	SUB		17	2	Ich möchte mir einige {F1} kaufen.				einige.adj.acc		einige is an adjective			
8	SUB		18	2	Zeigen Sie mir bitte {F1}.				ein.acc.der.adj.gen.pl					
8	SUB		19	2	Die Krawatte passt gut zu {F1}.				ein.adj.dat					
8	SUB		20	2	Wie ist die Qualität {F1}?				der.adj.gen					
8	SUB		21	2	Ich möchte mir gern ein paar {F1} ansehen.				ep.adj.acc					
8	SUB		22	2	Wie gefällt Ihnen {F1}?				der.adj.ein.gen					
8	SUB		23	2	Wie viel kosten {F1}?				unp.adj			Wieviel kosten {F1}?		
8	SUB		24	2	{F1} sind teuer.				alle.adj.nom		all- is der-type specifier.  In singular it occurs with the endings -es or -em and usually stands alone or is followed by an adjective.  In the plural it occurs both alone and as part of the usual specifier-adj-noun sequence.			
8	SUB		25	2	Hier gibt es viele {F1}.				viel.adj.acc		viele is an adjective			
8	SUB		26	2	Wir haben {F1}.				ein.adj.acc					
8	SUB		27	2	Ich bin mit {F1}.				alle.adj.dat		all- is der-type specifier.  In singular it occurs with the endings -es or -em and usually stands alone or is followed by an adjective.  In the plural it occurs both alone and as part of the usual specifier-adj-noun sequence.			
8	SUB		28	2	Wir kommen mit ein paar {F1}.				ep.adj.dat		ein paar is invariable, has indefinite plural reference.  adjectives that follow decline as unpreceded			
8	SUB		29	2	Kennt Herr Becker nicht ein paar {F1}?				ep.adj.acc		ein paar is invariable, has indefinite plural reference.  adjectives that follow decline as unpreceded			
8	SUB		30	2	Ich möchte gern {F1} haben.				spec.adj.acc					
9	SUB	1	1	2	Wir haben {F1}.				viel.no.acc					
9	SUB	1	2	2	Ich habe nur {F1}.				wenig.no.acc					
9	SUB	1	3	2	Sie hat {F1} als ich.				mehr.no.acc					
9	SUB	1	4	2	Er trinkt {F1}.				wenig.no.acc					
9	SUB	1	5	2	Er hat {F1} als ich.				weniger.no.acc					
9	SUB	1	7	2	Er trinkt {F1}.				viel.unc.acc.no					
9	SUB	1	8	2	Hier gibt es {F1} als bei Ihnen zu Hause.				mehrwenig.acc.no					
9	SUB	1	9	2	Hier ist es nicht so {F1} wie in Berlin.				adj.eq					
9	SUB	1	10	2	{F1} {F2} morgen nach Berlin fahren.		werde/wird/werden		vcon.werden					
9	SUB	1	11	2	{F1} {F2} {F3} Jacke anziehen.	Ich	will	meine	vcon.wollen					
9	SUB	1	12	2	{F1} wollen {F2} Mäntel anziehen.				vcon.wollen					
9	SUB	1	13	2	{F1} ist kalt.				temp.adj					
9	SUB	1	14	1	Ist {F1} zu warm?				temp.adj					
9	SUB	1	15	2	Wir freuen uns auf {F1}.				vocab.sichfreuen					
9	SUB	1	16	2	Er stellt {F1} an.				vcon.anstellen					
9	SUB	2	1	2	Er fährt jetzt {F1}.				pred.adj.comp					
9	SUB	2	2	2	Dieses Haus ist {F1}.				pred.adj.sup					
9	SUB	2	3	2	Der Herbst ist hier {F1} Jahreszeit.				adj.sup.nom					
9	SUB	2	4	2	Hier ist es {F1} als in Berlin.				adj.comp					
9	SUB	2	5	2	Wo ist es {F1}?				pred.adj.sup					
9	SUB	2	6	2	Er kauft sich {F1}.				adj.sup.acc					
9	SUB	2	7	2	Ihr Haus ist {F1} als {F2}.	größer	mein-		adj.comp.pop				grösser	
9	SUB	2	8	2	Das ist unser {F1} Wagen hier in Deutschland.				ein.adj.comp.nom					
9	SUB	2	9	2	Er hat ein {F1} Zimmer als sein Bruder.				ein.adj.comp.acc					
9	SUB	2	10	2	Er arbeitet in {F1} der Stadt.				der.adj.sup.dat					
9	SUB	2	11	2	Das sind {F1} Hemden.				ein.adj.nom					
9	SUB	2	12	2	Wir kaufen uns {F1} Lampe.				ein.adj.sup.acc					
9	SUB	2	13	2	Ist das Ihr {F1} Auto?				ein.adj.sup.nom					
9	SUB	2	14	2	Das sind {F1} Tage.				der.adj.sup.acc					
9	SUB	2	15	2	Ich nehme {F1}.				der.adj.comp.acc					
9	SUB	2	16	2	Kennen Sie {F1} von ihm?				der.adj.sup.acc					
9	SUB	2	17	2	Hier ist ein Bild {F1}.				der.adj.sup.gen					
9	SUB	2	18	2	Er arbeitet in {F1} als ich.				ein.adj.comp.dat					
9	SUB	2	19	2	Das ist {F1} in diesem Geschäft.				der.adj.sup.nom					
9	SUB	2	20	2	Diese Stadt hat {F1} als Bremen.				unp.adj.comp.acc					
9	SUB	2	21	2	Ich gehe heute in {F1}.				ein.adj.comp.acc					
9	CONV		1	2	Oben in den Bergen ist es heute {F1} unten im Tal.	windiger als			adj.eq					
9	CONV		2	2	Hier ist es {F1} in Süddeutschland.	kühler als			adj.eq					
9	CONV		3	2	Im Sommer ist es in Washington {F1} in Frankfurt.	heißer als			adj.eq				heisser als	
9	CONV		4	2	Ihre Spülmaschine ist {F1} meine.	besser als			adj.eq			Ihre Schreibmaschine ist {F1} meine.		
9	CONV		5	2	Hier ist {F1} Verkehr {F2} auf der Autobahn.	weniger	als		adj.eq					
9	CONV		6	2	Das weiße Hemd gefällt mir {F1} das farbige.	besser als			adj.eq			Das weisse Hemd gefällt mir {F1} das farbige.		
9	CONV		7	2	Ist denn der Dom in Köln {F1} der in Frankfurt?	größer als			adj.eq			grösser als		
9	CONV		8	2	Finden Sie diesen Stoff {F1} den anderen da?	besser als			adj.eq					
9	CONV		9	2	Diese Zeitung ist {F1} die Frankfurter Allgemeine.	interessanter als			adj.eq					
9	CONV		10	2	Dieser Brief ist augenblicklich {F1} Ihr Ferngespräch.	dringender und wichtiger als			adj.eq					
9	CONV		11	2	Das Material dieses blauen Anzugs ist {F1} das des grauen.	leichter als			adj.eq					
9	CONV		12	2	Wir fahren {F1} mit der Straßenbahn {F2} mit dem Autobus.	lieber	als		adj.eq			Wir fahren {F1} mit der Strassenbahn {F2} mit dem Autobus.		
9	CONV		13	2	Er will {F1} von dem deutschen Wein {F2} von dem französischen kaufen.	mehr	als		adj.eq					
9	CONV		14	2	Unsere Küche ist {F1} das Wohnzimmer.	gemütlicher als			adj.eq					
9	CONV		15	2	In den neuen Etagenhäusern sind die Miete {F1} in den alten.	höher als			adj.eq					
9	CONV		16	2	Wir sehen den Wagen des Konsuls {F1} den des Botschafters.	öfter als			adj.eq					
9	CONV		17	2	In dieser Stadt gibt es {F1} Omnibusse {F2} Straßenbahnen.	mehr	als		adj.eq			In dieser Stadt gibt es {F1} Omnibusse {F2} Strassenbahnen.		
10	SUB	1	1	2	Ich weiß nicht, {F1} Herr Meyer kommt.				conj	E		Ich weiss nicht, {F1} Herr Meyer kommt.		
10	SUB	1	2	2	Wissen Sie, {F1} er nach England fährt?				conj	E				
10	SUB	1	3	2	Das Konzert findet in {F1} statt.				time.pt	E				
10	SUB	1	4	2	Ich besuche {F1} manchmal Beckers.				time.gen	E				
10	SUB	1	5	2	Ich möchte mir {F1} bestellen.				ein.nnpart	E				
10	SUB	1	6	2	Das hängt von {F1} ab.				einder.dat					
10	SUB	1	7	2	Ich glaube, dass er {F1}.				order.sub	E				
10	SUB	1	8	2	Wissen Sie, wann er gewöhnlich {F1}?				order.sub	E				
10	SUB	1	9	2	Glauben Sie wirklich, dass Herr Jones {F1}?				order.sub	E				
10	SUB	1	10	2	Wir wissen nicht, ob {F1}.				order.sub	E				
10	SUB	2	1	2	Heute ist {F1}.				der.date.nom					
10	SUB	2	2	2	Er kommt {F1}.				am.date					
10	SUB	2	3	2	Ich freue mich auf {F1}.				der.date.acc					
10	SUB	2	4	2	{F1} ist ein Mittwoch.				der.date.nom					
10	SUB	2	5	2	{F1} wollen wir nach Bonn fahren.				am.date					
10	SUB	2	6	2	Das Theater fängt um {F1} an.				time.form					
10	SUB	2	7	2	Wir essen meistens um {F1}.				time.viertel					
10	SUB	2	8	2	Es ist genau {F1}.				time.nachvor					
10	CONV	1	1	5	Wir fahren {F1} in die Berge.	nächsten Monat			order					
10	CONV	1	2	5	Die Sonne scheint {F1} sehr schön.	heute			order					
10	CONV	1	3	5	Ich weiß nicht, {F1}.	was wir machen sollen			order			Ich weiss nicht, {F1}.		
10	CONV	1	4	5	Wir gehen zusammen einkaufen, {F1}.	wenn mein Mann nach Hause kommt			order					
10	CONV	1	5	5	Wir kommen {F1} zu Ihnen, wenn wir Zeit haben.	am Sonntag			order					
10	CONV	1	6	5	Wir werden {F1} leider nicht mehr sehen können.	seine Frau			order					
10	CONV	1	7	5	Wir essen gewöhnlich um eins, {F1}.	da ich mittags nach Hause gehe			order					
10	CONV	1	8	5	Ich bestelle {F1} Rumpsteak mit Röstkartoffeln, {F2}.	meistens	wenn ich ins Restaurant gehe		order					
10	CONV	1	9	5	Wir essen immer {F1}.	um diese Zeit			order					
10	CONV	1	10	5	Wir kennen {F1} nicht, aber sie.	ihn			order					
10	CONV	1	11	5	Ich habe nicht {F1}.	das Geld für eine große Reise			order				das Geld für eine grosse Reise	
10	CONV	2	1	5	Mein Kollege hat ein neues Auto. Wir fahren öfters zusammen in die Berge.				coco					
10	CONV	2	2	5	Ich möchte ihn sehr gern besuchen. Er wohnt zu weit von hier.				coco					
